epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.62409,0,83.7662,0,0,0,0,0,0,24.7693,0,0,0,0
2,12.8133,0,83.7991,0,0,0,0,0,0,24.7621,0,8.16507e-06,8.16507e-06,8.16507e-06
3,17.9794,0,83.6708,0,0,0,0,0,0,24.754,0,1.60003e-05,1.60003e-05,1.60003e-05
4,21.5047,0,83.5104,0,0,0,0,0,0,24.7455,0,2.35056e-05,2.35056e-05,2.35056e-05
5,24.8191,0,83.4481,0,0,0,0,0,0,24.7367,0,3.06811e-05,3.06811e-05,3.06811e-05
6,28.4055,0,83.396,0,0,0,0,0,0,24.727,0,3.75266e-05,3.75266e-05,3.75266e-05
7,31.6376,0,83.1685,0,0,0,0,0,0,24.7168,0,4.40424e-05,4.40424e-05,4.40424e-05
8,35.1587,0,82.9728,0,0,0,0,0,0,24.7055,0,5.02282e-05,5.02282e-05,5.02282e-05
9,38.4251,0,82.6981,0,0,0,0,0,0,24.6941,0,5.60842e-05,5.60842e-05,5.60842e-05
10,41.6098,0,82.5835,0,0,0,0,0,0,24.683,0,6.16103e-05,6.16103e-05,6.16103e-05
11,44.8466,0,82.3409,0,0,0,0,0,0,24.6703,0,6.68066e-05,6.68066e-05,6.68066e-05
12,48.1534,0,81.9834,0,0,0,0,0,0,24.6561,0,7.1673e-05,7.1673e-05,7.1673e-05
13,51.7867,0,81.7518,0,0,0,0,0,0,24.641,0,7.62095e-05,7.62095e-05,7.62095e-05
14,55.866,0,81.5747,0,0,0,0,0,0,24.6272,0,8.04162e-05,8.04162e-05,8.04162e-05
15,60.2449,0,81.2537,0,0,0,0,0,0,24.613,0,8.42929e-05,8.42929e-05,8.42929e-05
16,64.0528,0,81.0399,0,0,0,0,0,0,24.5987,0,8.78398e-05,8.78398e-05,8.78398e-05
17,67.5101,0,80.9422,0,0,0,0,0,0,24.5845,0,9.10569e-05,9.10569e-05,9.10569e-05
18,70.9185,0,80.3757,0,0,0,0,0,0,24.5845,0,9.39441e-05,9.39441e-05,9.39441e-05
19,75.2213,0,80.4422,0,0,0,0,0,0,24.5644,0,9.65014e-05,9.65014e-05,9.65014e-05
20,80.2899,0,80.0895,0,0,0,0,0,0,24.5644,0,9.87288e-05,9.87288e-05,9.87288e-05
21,85.9502,0,80.1553,0,0,0,0,0,0,24.5448,0,0.000100626,0.000100626,0.000100626
22,90.7589,0,79.9021,0,0,0,0,0,0,24.5448,0,0.000102194,0.000102194,0.000102194
23,95.5415,0,79.7921,0,0,0,0,0,0,24.5243,0,0.000103432,0.000103432,0.000103432
24,99.3483,0,79.5722,0,0,0,0,0,0,24.5243,0,0.00010434,0.00010434,0.00010434
25,104.011,0,79.5579,0,0,0,0,0,0,24.5052,0,0.000104918,0.000104918,0.000104918
26,107.781,0,79.172,0,0,0,0,0,0,24.5052,0,0.000105166,0.000105166,0.000105166
27,111.825,0,79.6359,0,0,0,0,0,0,24.486,0,0.000105085,0.000105085,0.000105085
28,115.916,0,78.86,0,0,0,0,0,0,24.486,0,0.000104673,0.000104673,0.000104673
29,120.281,0,78.8337,0,0,0,0,0,0,24.4676,0,0.000103932,0.000103932,0.000103932
