epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1346.22,1.39943,3.4321,1.53001,0.71836,0.24441,0.30138,0.17294,1.33664,2.23331,1.46111,0.000237402,0.000237402,0.000237402
2,3395.19,1.3406,2.18146,1.49104,0.61849,0.35442,0.37838,0.21232,1.35856,1.89304,1.48612,0.000459714,0.000459714,0.000459714
3,5923.24,1.3272,1.93672,1.46327,0.68229,0.41037,0.4452,0.26413,1.34698,1.6923,1.42978,0.000666317,0.000666317,0.000666317
4,7994.8,1.30367,1.74256,1.42872,0.65662,0.43209,0.47662,0.2847,1.31979,1.54823,1.41081,0.000643314,0.000643314,0.000643314
5,9387.48,1.27254,1.6246,1.40214,0.64391,0.48066,0.51784,0.30936,1.28614,1.41737,1.36051,0.000619752,0.000619752,0.000619752
6,10705.8,1.26503,1.56125,1.38767,0.69736,0.47521,0.53616,0.3222,1.25746,1.34652,1.33551,0.00059619,0.00059619,0.00059619
7,12102.3,1.22528,1.49065,1.36807,0.68337,0.47965,0.53109,0.32076,1.27029,1.35988,1.33881,0.000572628,0.000572628,0.000572628
8,13462,1.21297,1.44473,1.35244,0.71958,0.51817,0.58075,0.3591,1.21225,1.22754,1.30885,0.000549066,0.000549066,0.000549066
9,14803.7,1.19679,1.40511,1.34321,0.73232,0.51543,0.58027,0.35848,1.23794,1.23523,1.31839,0.000525504,0.000525504,0.000525504
10,16135,1.17893,1.35318,1.32943,0.734,0.5517,0.60638,0.37624,1.18871,1.16202,1.28487,0.000501942,0.000501942,0.000501942
11,17452.9,1.18032,1.32949,1.32253,0.74354,0.5505,0.61235,0.38587,1.1907,1.1544,1.28023,0.00047838,0.00047838,0.00047838
12,18775,1.16342,1.29156,1.30708,0.76736,0.55761,0.62578,0.39196,1.18393,1.12347,1.2653,0.000454818,0.000454818,0.000454818
13,20088.8,1.15003,1.25423,1.2975,0.75025,0.55977,0.62221,0.39401,1.17594,1.1172,1.26032,0.000431256,0.000431256,0.000431256
14,21389.3,1.13514,1.22974,1.2929,0.76761,0.56955,0.63897,0.40597,1.15638,1.06891,1.2298,0.000407694,0.000407694,0.000407694
15,22695.1,1.12854,1.21273,1.28091,0.79841,0.58668,0.66175,0.42079,1.14524,1.03961,1.23353,0.000384132,0.000384132,0.000384132
16,24004.9,1.12089,1.17854,1.27731,0.80885,0.58372,0.66696,0.42383,1.15389,1.00606,1.22927,0.00036057,0.00036057,0.00036057
17,25320.3,1.1093,1.16474,1.26505,0.79952,0.60273,0.67133,0.43437,1.12274,0.98336,1.20921,0.000337008,0.000337008,0.000337008
18,26612.8,1.10062,1.12357,1.25388,0.83186,0.60416,0.68734,0.44647,1.10947,0.96358,1.1929,0.000313446,0.000313446,0.000313446
19,27951.3,1.07963,1.10366,1.24676,0.82878,0.61077,0.68477,0.44767,1.09822,0.94548,1.18858,0.000289884,0.000289884,0.000289884
20,29260.3,1.08099,1.08702,1.23912,0.81847,0.61799,0.69403,0.45295,1.09326,0.92092,1.17957,0.000266322,0.000266322,0.000266322
21,30541.4,1.09775,0.99759,1.25888,0.84212,0.61618,0.70133,0.45738,1.09011,0.90974,1.17672,0.00024276,0.00024276,0.00024276
22,31853,1.0853,0.96582,1.24436,0.83295,0.6257,0.70433,0.46167,1.08682,0.89715,1.17069,0.000219198,0.000219198,0.000219198
23,33140.5,1.07021,0.93301,1.23096,0.8332,0.63844,0.71631,0.4735,1.06885,0.86543,1.16095,0.000195636,0.000195636,0.000195636
24,34436.1,1.05935,0.91919,1.23232,0.84255,0.63931,0.72003,0.4775,1.05935,0.86259,1.15314,0.000172074,0.000172074,0.000172074
25,35721.4,1.04042,0.88665,1.22058,0.84951,0.64227,0.72198,0.48053,1.05292,0.85305,1.15033,0.000148512,0.000148512,0.000148512
26,37026.7,1.02767,0.87204,1.20849,0.85427,0.6454,0.72214,0.48722,1.03999,0.8341,1.13521,0.00012495,0.00012495,0.00012495
27,38322,1.01522,0.85729,1.20366,0.85938,0.64237,0.72677,0.48951,1.03645,0.82107,1.1346,0.000101388,0.000101388,0.000101388
28,39610.7,1.01442,0.84792,1.19795,0.86155,0.64588,0.73021,0.49439,1.02767,0.81504,1.12927,7.7826e-05,7.7826e-05,7.7826e-05
29,40898.1,0.99546,0.83064,1.18842,0.87324,0.64893,0.73335,0.49778,1.02209,0.80354,1.12405,5.4264e-05,5.4264e-05,5.4264e-05
30,42198.7,0.99509,0.81702,1.18746,0.87354,0.65093,0.73633,0.49984,1.01564,0.79449,1.12089,3.0702e-05,3.0702e-05,3.0702e-05
