epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,510.261,1.28665,3.83129,1.35908,0.00397,0.17543,0.09959,0.05897,1.09231,4.12129,1.23541,0.00018564,0.00018564,0.00018564
2,1049.32,1.20651,2.52462,1.26071,0.02284,0.49043,0.39022,0.25493,1.1998,3.25637,1.31858,0.000374674,0.000374674,0.000374674
3,1577.73,1.23175,1.74459,1.27076,0.91822,0.18343,0.37872,0.23583,1.30057,2.88969,1.35811,0.00055989,0.00055989,0.00055989
4,2115.46,1.24897,1.53851,1.27251,0.86135,0.39083,0.42238,0.27222,1.30432,2.10366,1.38183,0.000692794,0.000692794,0.000692794
5,2515.64,1.1596,1.32588,1.2249,0.86079,0.41861,0.43929,0.29547,1.22274,1.71046,1.30644,0.000685726,0.000685726,0.000685726
6,2775.18,1.14984,1.32298,1.22115,0.87333,0.41973,0.44093,0.28622,1.27137,1.58652,1.37202,0.000678657,0.000678657,0.000678657
7,3051.16,1.10246,1.22421,1.20565,0.89444,0.41641,0.45381,0.3085,1.17487,1.46613,1.3008,0.000671588,0.000671588,0.000671588
8,3304.19,1.08093,1.13587,1.16581,0.90462,0.42604,0.46549,0.3203,1.16208,1.41338,1.29256,0.00066452,0.00066452,0.00066452
9,3567.19,1.06867,1.14121,1.16237,0.93901,0.42177,0.46415,0.33058,1.13357,1.38669,1.27754,0.000657451,0.000657451,0.000657451
10,3795.12,1.04736,1.0896,1.15677,0.94872,0.44329,0.48371,0.34246,1.10157,1.23131,1.28767,0.000650383,0.000650383,0.000650383
11,4055.63,1.03054,1.05545,1.15218,0.94647,0.42253,0.4788,0.33863,1.11857,1.28082,1.28168,0.000643314,0.000643314,0.000643314
12,4305.02,0.9766,1.0076,1.12858,0.95069,0.42679,0.48446,0.34078,1.12306,1.21374,1.24544,0.000636245,0.000636245,0.000636245
13,4517.71,1.02545,1.05969,1.14108,0.9359,0.45296,0.49493,0.35191,1.07771,1.19073,1.24204,0.000629177,0.000629177,0.000629177
14,4725.87,1.01287,1.02272,1.14754,0.93178,0.45239,0.49229,0.33682,1.14468,1.17972,1.24105,0.000622108,0.000622108,0.000622108
15,4942.56,0.99837,0.95331,1.12699,0.9454,0.44624,0.48946,0.35092,1.07215,1.15879,1.22423,0.00061504,0.00061504,0.00061504
16,5176.1,1.00321,0.9739,1.14402,0.91454,0.43225,0.46892,0.33529,1.09758,1.25262,1.23451,0.000607971,0.000607971,0.000607971
17,5387.62,0.98803,0.95234,1.12249,0.95731,0.44869,0.49501,0.35982,1.06952,1.05347,1.20931,0.000600902,0.000600902,0.000600902
18,5601.75,0.95417,0.90899,1.11126,0.94296,0.44707,0.49549,0.3576,1.04644,1.08123,1.21506,0.000593834,0.000593834,0.000593834
19,5823.62,0.97598,0.90778,1.09992,0.9562,0.44116,0.49841,0.35837,1.05816,1.02154,1.20429,0.000586765,0.000586765,0.000586765
20,6031.53,0.96228,0.88241,1.11422,0.95696,0.4391,0.49571,0.35782,1.05675,1.03035,1.21638,0.000579697,0.000579697,0.000579697
21,6251.45,0.92304,0.89285,1.1167,0.95216,0.44776,0.51409,0.36988,1.03417,1.01324,1.18857,0.000572628,0.000572628,0.000572628
22,6462.74,0.94929,0.87644,1.08909,0.94681,0.45788,0.52026,0.36618,1.07327,0.9995,1.19967,0.000565559,0.000565559,0.000565559
23,6681.19,0.94212,0.85913,1.08853,0.94459,0.4687,0.52687,0.37783,1.02775,0.94433,1.17561,0.000558491,0.000558491,0.000558491
24,6894,0.91376,0.83306,1.08773,0.96774,0.45315,0.51148,0.37661,1.007,0.95495,1.1759,0.000551422,0.000551422,0.000551422
25,7155.1,0.93317,0.82193,1.08828,0.95231,0.45731,0.51346,0.37071,1.04372,0.95699,1.20049,0.000544354,0.000544354,0.000544354
26,7423.97,0.91882,0.81502,1.08368,0.82222,0.44505,0.51522,0.37447,1.02147,0.9677,1.20011,0.000537285,0.000537285,0.000537285
27,7642.38,0.90464,0.81032,1.09612,0.97304,0.46435,0.52034,0.37548,1.02974,0.94374,1.20765,0.000530216,0.000530216,0.000530216
28,7874.62,0.90715,0.80456,1.07,0.97847,0.45089,0.52033,0.37203,1.04865,0.91949,1.19736,0.000523148,0.000523148,0.000523148
29,8079.52,0.90896,0.78754,1.06776,0.95227,0.46701,0.56002,0.40043,1.0061,0.92634,1.16031,0.000516079,0.000516079,0.000516079
30,8279,0.89956,0.77362,1.0736,0.95576,0.45412,0.53562,0.38461,1.03991,0.92594,1.19377,0.000509011,0.000509011,0.000509011
31,8485.97,0.89506,0.74261,1.06464,0.80154,0.4685,0.52227,0.37272,1.04454,0.91928,1.19774,0.000501942,0.000501942,0.000501942
32,8696.98,0.89449,0.75324,1.07361,0.6571,0.48546,0.53013,0.37404,1.02384,0.93028,1.18473,0.000494873,0.000494873,0.000494873
33,8913.95,0.8745,0.7413,1.0641,0.64372,0.52011,0.5465,0.39446,1.00268,0.87985,1.16936,0.000487805,0.000487805,0.000487805
34,9129.58,0.86511,0.72883,1.05503,0.64821,0.51187,0.55032,0.39005,1.01431,0.91307,1.173,0.000480736,0.000480736,0.000480736
35,9364.46,0.8852,0.73449,1.05136,0.69201,0.5402,0.53185,0.37615,1.01859,0.94446,1.16219,0.000473668,0.000473668,0.000473668
36,9582.86,0.86833,0.7353,1.05915,0.70086,0.51268,0.56958,0.4087,1.00474,0.84537,1.14055,0.000466599,0.000466599,0.000466599
37,9784.74,0.87059,0.71106,1.04933,0.64429,0.5475,0.54348,0.39582,1.00215,0.86949,1.1456,0.00045953,0.00045953,0.00045953
38,9994.55,0.87273,0.69545,1.05988,0.77456,0.55799,0.56946,0.40982,0.9962,0.84097,1.14846,0.000452462,0.000452462,0.000452462
